intent,utterance
change_billing_address,Is it allowed to change the billing address on this platform?
credit_card_redeemption,Are all my DBS Credit Cards valid for redemption here?
credit_card_redeemption,Can I redeem points from all my DBS Credit Cards on this site?
credit_card_redeemption,Are all my DBS Credit Cards eligible for redemption?
credit_card_redeemption,Which DBS Credit Cards can I redeem points from on this website?
credit_card_redeemption,Are there any DBS Credit Cards ineligible for redemption here?
credit_card_redeemption,Can I use all my DBS Credit Cards for redemption?
credit_card_redeemption,Which DBS Credit Cards qualify for redemption on this site?
credit_card_redeemption,Are there any DBS Credit Cards excluded from redemption?
credit_card_redeemption,Can I redeem points from any DBS Credit Card here?
credit_card_redeemption,Which DBS Credit Cards are not eligible for redemption on this website?
vide_DBS_point,How do I check my DBS Points and expiry date?
vide_DBS_point,Where can I view my DBS Points and their expiry dates?
vide_DBS_point,How can I see my DBS Points and when they expire?
vide_DBS_point,Is there a way to check my DBS Points and expiry date?
vide_DBS_point,How do I find out my DBS Points and when they expire?
vide_DBS_point,Can you show me my DBS Points and their expiry dates?
vide_DBS_point,Where do I go to see my DBS Points and expiry date?
vide_DBS_point,How can I check my DBS Points and when they'll expire?
vide_DBS_point,What's the process for viewing my DBS Points and their expiry dates?
vide_DBS_point,How do I access my DBS Points and find out when they expire?
search_rewards,How can I look for rewards?
search_rewards,What's the process for searching rewards?
search_rewards,How do I find specific rewards?
search_rewards,Can you guide me on searching for rewards?
search_rewards,How do I search for rewards on this site?
search_rewards,Where's the search option for rewards?
search_rewards,Can you help me find rewards?
search_rewards,What's the best way to find rewards?
search_rewards,How can I search for rewards efficiently?
search_rewards,Where can I search for rewards?
redeem_for_items,How do I go about redeeming items?
redeem_for_items,What's the process for redeeming items?
redeem_for_items,Can you guide me on redeeming items?
redeem_for_items,How do I redeem items from the rewards site?
redeem_for_items,What's the procedure for redeeming items?
redeem_for_items,How can I redeem items?
redeem_for_items,What's the step-by-step process for redeeming items?
redeem_for_items,How do I add items to my cart for redemption?
redeem_for_items,Can you explain how to redeem items?
redeem_for_items,What's the method to redeem items on the site?
delete_shopping_cart,How do I remove something from my cart?
delete_shopping_cart,Can you help me delete an item from my cart?
delete_shopping_cart,What's the process to delete an item from the shopping cart?
delete_shopping_cart,How can I remove an item from my shopping cart?
delete_shopping_cart,What do I do if I want to delete something from my cart?
delete_shopping_cart,Can you guide me on deleting an item from my cart?
delete_shopping_cart,How do I take something out of my cart?
delete_shopping_cart,What's the method to remove an item from the shopping cart?
delete_shopping_cart,Can you explain how to delete an item from the cart?
delete_shopping_cart,What's the step-by-step process for removing items from the cart?
take_to_redeem,How long after spending on my card can I redeem points?
take_to_redeem,When will my credit card points be available for redemption?
take_to_redeem,How soon can I redeem points after using my credit card?
take_to_redeem,What's the waiting time to redeem points after making a credit card transaction?
take_to_redeem,When can I expect my credit card points to be updated for redemption?
take_to_redeem,How much time does it take for credit card points to reflect for redemption?
take_to_redeem,"After swiping my card, when can I start redeeming points?"
take_to_redeem,What's the timeframe for redeeming points after using my credit card?
take_to_redeem,Can you tell me when I can redeem points after using my credit card?
take_to_redeem,How long does it usually take for credit card transactions to be eligible for point redemption?
paymant_method,What are the payment methods available?
paymant_method,Can you list the payment options I have?
paymant_method,How can I pay for my transactions?
paymant_method,What are the available payment methods?
paymant_method,Tell me about the payment options.
paymant_method,What payment methods do you accept?
paymant_method,Which methods can I use to make payments?
paymant_method,Can you explain the payment methods?
paymant_method,How can I settle my transactions?
paymant_method,What are my options for making payments?
interest_free,How long is the interest-free period for purchases?
interest_free,When is the interest-free period for my purchases?
interest_free,Can you tell me about the interest-free days?
interest_free,How many days do I have without interest on purchases?
interest_free,What's the grace period for interest-free purchases?
interest_free,How long do I have to pay without incurring interest?
interest_free,Tell me about the interest-free period on my purchases.
interest_free,When does the interest-free period end?
interest_free,How much time do I have before interest charges apply?
interest_free,Can you explain the interest-free days on purchases?
credit_card_fees,What happens if I don't pay on time?
credit_card_fees,Are there charges for late payment?
credit_card_fees,Can you explain the fees for non-payment?
credit_card_fees,Will I be charged if I miss a payment?
credit_card_fees,What are the consequences of not paying?
credit_card_fees,Can you tell me about the penalties for late payment?
credit_card_fees,What fees apply if I don't pay my credit card bill?
credit_card_fees,Are there any charges for not making full payment?
credit_card_fees,Can you explain the finance charges for late payment?
credit_card_fees,What happens if I only make a partial payment?
interest_adjustment,When does the bank adjust interest rates?
interest_adjustment,Can you explain when interest adjustments happen?
interest_adjustment,When will the interest rate change?
interest_adjustment,Can you clarify when the interest rate increases?
interest_adjustment,What triggers the adjustment of interest rates?
interest_adjustment,When does the increased interest rate apply?
interest_adjustment,Can you tell me about the timing of interest adjustments?
interest_adjustment,When will the new interest rate be applied?
interest_adjustment,How soon will the interest rate change take effect?
interest_adjustment,Can you explain the process of interest rate adjustments?
additional_interest_rate,How can I find out when the extra interest rate kicks in?
additional_interest_rate,When will I see the additional interest rate on my statement?
additional_interest_rate,How do I know if the higher interest rate is applied?
additional_interest_rate,When will the new interest rate show up on my Credit Card statement?
additional_interest_rate,Can you tell me when the additional interest rate will be added?
additional_interest_rate,How do I check for the increased interest rate on my statement?
additional_interest_rate,When can I expect to see the change in interest rate?
additional_interest_rate,How do I know if the interest rate adjustment has occurred?
additional_interest_rate,Can you clarify when the extra interest rate will take effect?
additional_interest_rate,When will I see the adjustment to my interest rate on my statement?
miss_payment,What if I miss my payment again?
miss_payment,What happens if I don't make my payment on time again?
miss_payment,"If I miss my payment again, what are the consequences?"
miss_payment,What will happen if I fail to make my payment again?
miss_payment,Can you explain what happens if I miss my payment again?
miss_payment,What are the repercussions if I miss my payment again?
miss_payment,What will be the outcome if I don't pay on time again?
miss_payment,"If I miss my payment again, will the interest rate change?"
miss_payment,Can you clarify what happens if I miss my payment again?
miss_payment,What will occur if I fail to make my payment again?
avoid_interest_fees,How can I avoid paying interest and fees?
avoid_interest_fees,What do I need to do to prevent paying interest and fees?
avoid_interest_fees,How do I ensure I don't get charged extra fees?
avoid_interest_fees,What's the best way to avoid interest and fees?
avoid_interest_fees,Can you tell me how to escape paying extra charges?
avoid_interest_fees,What should I do to dodge interest and fees?
avoid_interest_fees,How can I prevent getting charged additional fees?
avoid_interest_fees,What steps can I take to avoid paying extra money?
avoid_interest_fees,Can you advise me on avoiding interest and fees?
avoid_interest_fees,What actions should I take to steer clear of extra charges?
check_full_detial,How can I check the full details of a charge on my statement?
check_full_detial,What's the process to get the full details of a charge on my statement?
check_full_detial,Can you help me with accessing the full details of a charge on my statement?
check_full_detial,How do I find out more about a specific charge on my statement?
check_full_detial,Can you assist me in checking the details of a charge on my statement?
check_full_detial,What should I do to view the complete details of a charge on my statement?
check_full_detial,Can you guide me on checking the details of a specific charge on my statement?
check_full_detial,How can I get more information about a charge on my statement?
check_full_detial,What steps should I take to access the full details of a charge on my statement?
check_full_detial,What's the procedure for obtaining the full details of a charge on my statement?
charge_disputes,"If I'm sure I didn't make a transaction on my statement, what should I do?"
charge_disputes,How can I dispute a transaction if I'm sure I didn't make it?
charge_disputes,What's the process for disputing a transaction that I didn't make?
charge_disputes,Can you help me with disputing a transaction on my statement?
charge_disputes,What should I do if there's a transaction on my statement that I didn't make?
charge_disputes,How do I report a transaction that I didn't authorize?
charge_disputes,Can you guide me on disputing a transaction for the wrong amount?
charge_disputes,What steps should I take if there's a discrepancy in a transaction on my statement?
charge_disputes,What's the procedure for disputing a transaction on my statement?
charge_disputes,How can I register a dispute for a transaction on my statement?
cancel_card_dueto_stolen,How do I cancel my card if it's lost or stolen?
cancel_card_dueto_stolen,What should I do if my card goes missing?
cancel_card_dueto_stolen,Can you guide me on canceling my card if it's lost or stolen?
cancel_card_dueto_stolen,"My card is lost, what steps should I take to cancel it?"
cancel_card_dueto_stolen,What's the procedure for reporting a lost or stolen card?
cancel_card_dueto_stolen,How can I block my lost or stolen card?
cancel_card_dueto_stolen,What's the process for replacing a lost or stolen card?
cancel_card_dueto_stolen,"I need to cancel my card ASAP, what should I do?"
cancel_card_dueto_stolen,Can you help me with canceling my card that's been lost?
cancel_card_dueto_stolen,What should I do if I can't find my card?
cancel_card,How do I cancel my card if I no longer want it?
cancel_card,"I want to cancel my card, what should I do?"
cancel_card,Can you guide me on canceling my debit or credit card?
cancel_card,What's the process for canceling my card?
cancel_card,"I don't want my card anymore, how can I cancel it?"
cancel_card,What should I do if I want to stop using my card?
cancel_card,Can you help me with canceling my card?
cancel_card,What's the procedure for canceling a card I don't want?
cancel_card,How can I terminate my card?
cancel_card,"I need to cancel my card, what steps should I take?"
replace_cards,How can I get a replacement for my damaged card?
replace_cards,"I need a new card because mine got damaged, what should I do?"
replace_cards,"My card got damaged, what's the process for getting a replacement?"
replace_cards,Can you guide me on how to replace my damaged card?
replace_cards,What should I do if my card is damaged and I need a new one?
replace_cards,"I damaged my card, how can I get a replacement?"
replace_cards,How do I request a replacement card for my damaged one?
replace_cards,Can you help me with getting a new card for my damaged one?
replace_cards,What's the procedure for replacing a damaged card?
replace_cards,"I need to replace my damaged card, what steps should I take?"
card_change_pin,"I forgot my ATM/Debit/Credit Card PIN, what should I do?"
card_change_pin,Can I request a new PIN if I forgot my ATM/Debit/Credit Card PIN?
card_change_pin,How do I reset my ATM/Debit/Credit Card PIN if I forgot it?
card_change_pin,"I can't remember my ATM/Debit/Credit Card PIN, how can I get a new one?"
card_change_pin,What's the process for resetting my ATM/Debit/Credit Card PIN if I forgot it?
card_change_pin,Can you help me reset my ATM/Debit/Credit Card PIN?
card_change_pin,"I've forgotten my ATM/Debit/Credit Card PIN, how do I get a new one?"
card_change_pin,How can I reset my ATM/Debit/Credit Card PIN if I've forgotten it?
card_change_pin,What should I do if I can't recall my ATM/Debit/Credit Card PIN?
card_change_pin,Can I request a new PIN for my ATM/Debit/Credit Card if I forgot it?
change_card,"Sure, can I switch to a different card?"
change_card,"I'm considering changing to a different card, is that possible?"
change_card,Can I swap my current card for a different one?
change_card,How do I change to a different card?
change_card,Is it possible to switch to a different card?
change_card,"I want to change my card, what's the process?"
change_card,Can I get a different card instead?
change_card,"Thinking of changing my card, what should I do?"
change_card,Can I switch to another card?
change_card,What's the procedure for changing to a different card?
cash_advance_cost,How much do I get charged for a Cash Advance?
cash_advance_cost,What's the cost of taking out cash from my credit card?
cash_advance_cost,Can you tell me the fees for Cash Advances?
cash_advance_cost,How much will I be charged for getting cash using my credit card?
cash_advance_cost,What's the fee for Cash Advance transactions?
cash_advance_cost,Can you explain the charges for Cash Advances?
cash_advance_cost,How much does it cost to withdraw cash using my credit card?
cash_advance_cost,What's the fee structure for Cash Advances?
cash_advance_cost,Can you break down the charges for Cash Advance transactions?
cash_advance_cost,How are Cash Advance fees calculated?
balance_transfer,How does Balance Transfer work?
balance_transfer,Can you explain how to apply for Balance Transfer?
balance_transfer,What's the process for Balance Transfer?
balance_transfer,Can you tell me about the benefits of Balance Transfer?
balance_transfer,How do I consolidate my outstanding balances with Balance Transfer?
balance_transfer,What are the interest rates for Balance Transfer?
balance_transfer,Can you provide more details on Balance Transfer?
balance_transfer,How can I apply for Balance Transfer?
balance_transfer,What are the steps to apply for Balance Transfer?
balance_transfer,Where can I find more information about Balance Transfer?
EVM_Chip_Card,What does EMV stand for?
EVM_Chip_Card,Can you explain what EMV is?
EVM_Chip_Card,What's the purpose of EMV?
EVM_Chip_Card,Can you tell me about EMV security?
EVM_Chip_Card,What are the benefits of EMV?
EVM_Chip_Card,How does EMV protect my card?
EVM_Chip_Card,Can you elaborate on EMV Smart Chip?
EVM_Chip_Card,What does EMV do for card security?
EVM_Chip_Card,Why is EMV important for card transactions?
EVM_Chip_Card,Can you provide more details about EMV technology?
EMV_Chip_Card_secrity,How does my EMV Chip Card protect against fraud?
EMV_Chip_Card_secrity,Can you explain the security features of my EMV Chip Card?
EMV_Chip_Card_secrity,What makes EMV Chip Cards more secure?
EMV_Chip_Card_secrity,How does the microprocessor chip enhance security?
EMV_Chip_Card_secrity,Can you tell me about the encryption on EMV Chip Cards?
EMV_Chip_Card_secrity,What is the difference between EMV Chip Cards and magnetic stripe cards in terms of security?
EMV_Chip_Card_secrity,How does the cryptographic encryption work on EMV Chip Cards?
EMV_Chip_Card_secrity,Can you elaborate on how EMV Chip Cards prevent replication of card contents?
EMV_Chip_Card_secrity,Why are EMV Chip Cards considered more secure?
EMV_Chip_Card_secrity,Can you compare the security of EMV Chip Cards to magnetic stripe cards?
EMV_Chip_Card_OverSeas_use,Can I use my EMV Chip Card abroad?
EMV_Chip_Card_OverSeas_use,Is my EMV Chip Card accepted overseas?
EMV_Chip_Card_OverSeas_use,Can I use my EMV Chip Card outside of Singapore?
EMV_Chip_Card_OverSeas_use,Is it possible to use my EMV Chip Card when traveling?
EMV_Chip_Card_OverSeas_use,Can I use my EMV Chip Card in other countries?
EMV_Chip_Card_OverSeas_use,Can I swipe my EMV Chip Card overseas?
EMV_Chip_Card_OverSeas_use,Is my EMV Chip Card usable internationally?
EMV_Chip_Card_OverSeas_use,Can I make purchases with my EMV Chip Card while traveling?
EMV_Chip_Card_OverSeas_use,Can I use my EMV Chip Card in countries without EMV technology?
EMV_Chip_Card_OverSeas_use,Can my EMV Chip Card be used abroad?
EVM_Chip_Card_repalce,Will my other DBS credit cards be replaced with EMV Chip Cards too?
EVM_Chip_Card_repalce,Are my supplementary cards getting EMV Chip Cards as well?
EVM_Chip_Card_repalce,Will DBS replace all my credit cards with EMV Chip Cards?
EVM_Chip_Card_repalce,Are my main and supplementary DBS credit cards getting EMV Chips?
EVM_Chip_Card_repalce,Do I need to request EMV Chip Cards for all my DBS credit cards?
EVM_Chip_Card_repalce,Are all DBS credit cardholders receiving EMV Chip Cards?
EVM_Chip_Card_repalce,Will DBS issue EMV Chip Cards for all its credit cards?
EVM_Chip_Card_repalce,Are EMV Chip Cards being sent to all DBS credit card users?
EVM_Chip_Card_repalce,Are my DBS credit cards being upgraded to EMV Chip technology?
EVM_Chip_Card_repalce,Are all DBS credit cardholders getting EMV Chip replacements?
